dataset,column,row_count,null_count,null_percentage
olist_closed_deals_dataset.csv,mql_id,842,0,0.0
olist_closed_deals_dataset.csv,seller_id,842,0,0.0
olist_closed_deals_dataset.csv,sdr_id,842,0,0.0
olist_closed_deals_dataset.csv,sr_id,842,0,0.0
olist_closed_deals_dataset.csv,won_date,842,0,0.0
olist_closed_deals_dataset.csv,business_segment,842,1,0.12
olist_closed_deals_dataset.csv,lead_type,842,6,0.71
olist_closed_deals_dataset.csv,lead_behaviour_profile,842,177,21.02
olist_closed_deals_dataset.csv,has_company,842,779,92.52
olist_closed_deals_dataset.csv,has_gtin,842,778,92.4
olist_closed_deals_dataset.csv,average_stock,842,776,92.16
olist_closed_deals_dataset.csv,business_type,842,10,1.19
olist_closed_deals_dataset.csv,declared_product_catalog_size,842,773,91.81
olist_closed_deals_dataset.csv,declared_monthly_revenue,842,0,0.0
olist_customers_dataset.csv,customer_id,99441,0,0.0
olist_customers_dataset.csv,customer_unique_id,99441,0,0.0
olist_customers_dataset.csv,customer_zip_code_prefix,99441,0,0.0
olist_customers_dataset.csv,customer_city,99441,0,0.0
olist_customers_dataset.csv,customer_state,99441,0,0.0
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,1000163,0,0.0
olist_geolocation_dataset.csv,geolocation_lat,1000163,0,0.0
olist_geolocation_dataset.csv,geolocation_lng,1000163,0,0.0
olist_geolocation_dataset.csv,geolocation_city,1000163,0,0.0
olist_geolocation_dataset.csv,geolocation_state,1000163,0,0.0
olist_marketing_qualified_leads_dataset.csv,mql_id,8000,0,0.0
olist_marketing_qualified_leads_dataset.csv,first_contact_date,8000,0,0.0
olist_marketing_qualified_leads_dataset.csv,landing_page_id,8000,0,0.0
olist_marketing_qualified_leads_dataset.csv,origin,8000,60,0.75
olist_orders_dataset.csv,order_id,99441,0,0.0
olist_orders_dataset.csv,customer_id,99441,0,0.0
olist_orders_dataset.csv,order_status,99441,0,0.0
olist_orders_dataset.csv,order_purchase_timestamp,99441,0,0.0
olist_orders_dataset.csv,order_approved_at,99441,160,0.16
olist_orders_dataset.csv,order_delivered_carrier_date,99441,1783,1.79
olist_orders_dataset.csv,order_delivered_customer_date,99441,2965,2.98
olist_orders_dataset.csv,order_estimated_delivery_date,99441,0,0.0
olist_order_items_dataset.csv,order_id,112650,0,0.0
olist_order_items_dataset.csv,order_item_id,112650,0,0.0
olist_order_items_dataset.csv,product_id,112650,0,0.0
olist_order_items_dataset.csv,seller_id,112650,0,0.0
olist_order_items_dataset.csv,shipping_limit_date,112650,0,0.0
olist_order_items_dataset.csv,price,112650,0,0.0
olist_order_items_dataset.csv,freight_value,112650,0,0.0
olist_order_payments_dataset.csv,order_id,103886,0,0.0
olist_order_payments_dataset.csv,payment_sequential,103886,0,0.0
olist_order_payments_dataset.csv,payment_type,103886,0,0.0
olist_order_payments_dataset.csv,payment_installments,103886,0,0.0
olist_order_payments_dataset.csv,payment_value,103886,0,0.0
olist_order_reviews_dataset.csv,review_id,99224,0,0.0
olist_order_reviews_dataset.csv,order_id,99224,0,0.0
olist_order_reviews_dataset.csv,review_score,99224,0,0.0
olist_order_reviews_dataset.csv,review_comment_title,99224,87656,88.34
olist_order_reviews_dataset.csv,review_comment_message,99224,58247,58.7
olist_order_reviews_dataset.csv,review_creation_date,99224,0,0.0
olist_order_reviews_dataset.csv,review_answer_timestamp,99224,0,0.0
olist_products_dataset.csv,product_id,32951,0,0.0
olist_products_dataset.csv,product_category_name,32951,610,1.85
olist_products_dataset.csv,product_name_lenght,32951,610,1.85
olist_products_dataset.csv,product_description_lenght,32951,610,1.85
olist_products_dataset.csv,product_photos_qty,32951,610,1.85
olist_products_dataset.csv,product_weight_g,32951,2,0.01
olist_products_dataset.csv,product_length_cm,32951,2,0.01
olist_products_dataset.csv,product_height_cm,32951,2,0.01
olist_products_dataset.csv,product_width_cm,32951,2,0.01
olist_sellers_dataset.csv,seller_id,3095,0,0.0
olist_sellers_dataset.csv,seller_zip_code_prefix,3095,0,0.0
olist_sellers_dataset.csv,seller_city,3095,0,0.0
olist_sellers_dataset.csv,seller_state,3095,0,0.0
product_category_name_translation.csv,product_category_name,71,0,0.0
product_category_name_translation.csv,product_category_name_english,71,0,0.0
